"Add to Wish List", "Zur Wunschliste hinzufügen"
"Add to Compare", "Produkt vergleichen"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "Kartenpüfnummer"
"Items %1-%2 of %3","%3 Produkte gefunden"
"Regular Price", "Regulärer Preis"
"Shop By","Einkaufen nach"
"Remove item", "Entfernen"
"Update Shopping Cart", "Warenkorb aktualisieren"
"Continue to Shipping Information", "Versandmethode auswählen"
"Sign In", "Einloggen"
"Sign Up", "Registrieren"
"and up", "& auf"
"%1 items", "%1"
"1 item", "1 Artikel"
"We use cookies to make your experience better.", "Wir verwenden Cookies, um Ihnen das beste Nutzererlebnis bieten zu können."
"To comply with the new e-Privacy directive, you agree to <a href=""%1"">the privacy policy and our use of cookies</a>.", "Wenn Sie fortfahren, diese Seite zu verwenden, nehmen wir an, dass Sie damit einverstanden sind. <a href=""%1"">Datenschutzerklärung</a>."
"Continue", "Fortfahren"
"Shop By Department", "Kategorie wählen"
"I'm looking for...", "Ich suche nach..."
"Search", "Suche"
"Sort By", "Sortieren nach"
"Show", "Anzeigen"
"View as", "Anzeigen als"
"Categories", "Kategorien"
"Position", "Relevanz"
"This is a required field.", "Dies ist ein Pflichtfeld."
"has been added to Comparison List", "wurde zur Vergleichsliste hinzugefügt."
"View Comparison List", "Vergleichsliste ansehen"
"Search for products, categories, ...", "Suche nach Produkten, Kategorien, ..."
"No results", "keine Ergebnisse"
"See products in", "Alle Produkte anzeigen in"
"All departments", "Alle Kategorien"
"Log In", "Login"
"Register", "Registrieren"
"Forgot?", "Vergessen?"
"Don't Miss Out! This promotion will expires in", "Achtung! Angebot nur noch gültig für"
"Secs", "Sekunden"
"Sold items", "Verkaufte Artikel heute"
"Sold", "Verkauft"
"View Cart", "Warenkorb"
